x,y,z,surface_code
5800442.0,2109713.8,-316.15655953,Deep aquitard
5794566.9,2112905.3,20.007705610000002,Salinas aquitard
5794566.9,2112905.3,-50.09229438999999,180ft aquifer
5794566.9,2112905.3,-180.00229438999997,Middle aquitard
5784097.1,2142501.5,-63.86058355,Salinas aquitard
5784097.1,2142501.5,-108.29058355,180ft aquifer
5784097.1,2142501.5,-242.12058355,Middle aquitard
5784097.1,2142501.5,-423.23058355,400ft aquifer
5784097.1,2142501.5,-528.10058355,Deep aquitard
5785661.1,2148135.1,56.44716097,Salinas aquitard
5785661.1,2148135.1,-113.33283903,180ft aquifer
5785661.1,2148135.1,-178.29283902999998,Middle aquitard
5785661.1,2148135.1,-400.03283903,400ft aquifer
5785661.1,2148135.1,-470.01283903,Deep aquitard
5845032.2,2084535.0,72.22945189999999,180ft aquifer
5845032.2,2084535.0,16.29945189999998,Middle aquitard
5845032.2,2084535.0,-80.43054810000001,400ft aquifer
5845032.2,2084535.0,-177.25054810000003,Deep aquitard
5804878.6,2110474.6,-34.11235481999999,180ft aquifer
5804878.6,2110474.6,-106.65235482,Middle aquitard
5767734.5,2146147.5,4.6642133299999955,Salinas aquitard
5767734.5,2146147.5,-116.72578667000002,180ft aquifer
5767734.5,2146147.5,-247.95578667000004,Middle aquitard
5767734.5,2146147.5,-330.02578667,400ft aquifer
5767734.5,2146147.5,-433.67578667,Deep aquitard
5777766.6,2153737.1,26.98890496,Salinas aquitard
5777766.6,2153737.1,-33.09109504,180ft aquifer
5777766.6,2153737.1,-206.66109504000002,Middle aquitard
5777766.6,2153737.1,-403.59109504,400ft aquifer
5824093.7,2110662.2,24.516580300000015,180ft aquifer
5824093.7,2110662.2,-14.723419699999994,Middle aquitard
5824093.7,2110662.2,-95.67341970000001,400ft aquifer
5824093.7,2110662.2,-220.77341969999998,Deep aquitard
5824093.7,2110662.2,-304.1734197,Paso Robles
5893519.8,2029992.3,163.26803639999997,180ft aquifer
5893519.8,2029992.3,112.3680364,Middle aquitard
5897508.3,2031385.3,149.02639910000002,180ft aquifer
5897508.3,2031385.3,106.51639910000002,Middle aquitard
5757865.0,2159392.1,-3.98160717,Salinas aquitard
5757865.0,2159392.1,-95.00160717,180ft aquifer
5757865.0,2159392.1,-280.01160717,Middle aquitard
5757865.0,2159392.1,-315.02160717,400ft aquifer
5757865.0,2159392.1,-431.86160717,Deep aquitard
5893573.3,2025987.6,215.0122391,Shallow aquifer
5893573.3,2025987.6,164.3422391,180ft aquifer
