BoreholeID,Easting,Northing,Elevation,TotalDepth,AlternateID
25453,5942521.7,1954691.9,301.8844252,125.0061,20S08E22E01
25493,5941134.7,1954721.6,300.5720362,125.0061,20S08E21H03
25494,5942521.7,1954691.9,301.8844252,125.0061,20S08E22E02
25513,6003852.4,1891869.4,471.958371,190.009272,22S10E15N02
25533,5791484.7,2115791.4,61.29048846,617.0301096,15S03E22K01
25553,5790710.2,2129504.3,60.34497083,980.047824,15S03E10D04
25573,5757584.5,2185843.8,65.06439234,660.032208,13S02E16J01
25597,5946653.6,1958587.8,322.2692222,130.006344,20S08E15J02
25633,5936840.9,1956135.3,293.7050792,124.0060512,20S08E21D04
25635,5936825.8,1954802.5,298.2326199,115.005612,20S08E21E03
25636,5938262.1,1954775.5,297.6424967,120.005856,20S08E21F04
25637,5938262.1,1954775.5,297.6424967,110.005368,20S08E21F05
25638,5941134.7,1954721.6,300.5720362,160.007808,20S08E21H04
25655,5812534.8,2095481.2,89.61566595,421.0205448,16S04E08G01
25657,5809907.2,2098068.5,104.7836733,615.030012,16S04E05N01
2571,5893418.3,2009886.1,305.8996008,900.04392,18S06E36B50
2590,5762394.5,2141034.3,34.69563943,469.0228872,14S02E34A01
2595,5955874.4,1946644.6,340.2504515,80.003904,20S08E25Q01
2598,5952649.4,1949855.4,319.1143189,62.0030256,20S08E25D01
26-01,5776943.494,2137904.075,45.94097733,800,
2659,5753028,2162823.1,14.5475941,610.029768,14S/02E-09D04
266,5851401.2,2068946.9,157.4907033,631.0307928,17S/05E-03D01
2686,5766196,2156620.6,20.18349151,766.0373808,14S02E14B50
2689,5750444,2180618.1,12.52895386,750.0366,13S02E20K50
2698,5756273.5,2166408.1,12.75250951,630.030744,14S02E04G02
2699,5755968.5,2156003.8,22.58234781,620.030256,14S02E16G01
270,5815458.1,2117037.7,124.8140284,823.0401624,15S04E21E52
271,5791439.1,2162655.1,162.2953454,690.033672,14S/03E-10B01
2718,5750272,2156722.3,12.89691316,635.030988,14S02E17B03
2721,6005436.5,1878435.8,441.3704989,140.006832,22S10E34L50
2742,5795270.1,2150703.8,104.7674575,750.0366,14S03E22A01
2743,5831608.6,2079248.8,113.2456151,570.027816,16S04E25F51
2746,5755461.5,2159950.6,15.82692561,630.030744,14S/02E-09K02
2749,5823705.3,2113582.4,192.5528605,810.039528,15S04E22Q50
2750,5820511.1,2113411.1,162.3479164,930.045384,15S04E22N50
2752,5794030.4,2169730.8,200.93348,950.04636,13S03E34Q50
2753,5819659,2090342.3,102.4323613,380.018544,16S04E16H50
2774,5806202.1,2166182.7,1220.547096,870.042456,14S04E06D50
2775,5830171.4,2068024,209.1694988,540.026352,17S04E01L01
2776,5825370.1,2096391,103.4792756,1000.0488,16S04E11D51
2777,5768566.4,2143455.7,36.4330141,590.028792,14S02E25M50
2779,5753572.5,2150105.8,145.7680934,614.0299632,14S02E21E01
278,5792378.6,2164662.1,173.3766849,910.044408,14S03E03T52
2784,5754181,2151255.8,30.99517542,300.01464,14S/02E-21F02
2785,5784067.3,2162971.2,130.2190116,820.040016,14S03E05R51
279,5756052.5,2156039.6,22.49717849,606.0295728,14S/02E-16H01
2791,5752558.5,2147858.8,138.4847659,600.02928,14S02E21N01
2794,5830171.4,2068024,209.1694988,608.0296704,17S04E01F02
2796,5764564.6,2149920.9,32.8261783,700.03416,14S02E23F50
